Afghanistan,14.06070519
Albania,12.7045505
Algeria,23.71286833
Andorra,12.29184283
Angola,22.12789333
Antigua and Barbuda,26.35444167
Argentina,14.83821467
Armenia,8.305934
Australia,22.288855
Austria,7.765189333
Azerbaijan,12.89713017
Bahamas,25.74182
Bahrain,28.343935
Bangladesh,24.99672833
Barbados,26.84723
Belarus,7.917533167
Belgium,10.81478383
Belize,25.96436333
Benin,28.16752833
Bhutan,12.23370983
Bolivia (Plurinational State of),21.02805167
Bosnia and Herzegovina,11.17146033
Botswana,22.50373
Brazil,25.87428833
Brunei,25.94511833
Bulgaria,12.03796383
Burkina Faso,28.88479167
Burundi,20.884125
Cambodia,27.74528833
Cameroon,25.07435833
Canada,-5.800695167
Cape Verde,23.50880938
Central African Republic,25.535665
Chad,27.78729833
Chile,8.732045333
China,7.155891667
Colombia,25.144345
Comoros,25.839315
Democratic Republic of the Congo,24.58313667
Congo,25.01582333
Costa Rica,25.13851
C?te d¡¯Ivoire,26.860745
Croatia,12.082528
Cuba,26.09951167
Cyprus,20.0413505
Czechia,9.380073
Denmark,9.086604667
Djibouti,28.71451667
Dominica,25.141455
Dominican Republic,24.71813
Ecuador,22.00344667
Egypt,23.52581333
El Salvador,24.64945333
Equatorial Guinea,25.049505
Eritrea,27.4028
Estonia,6.606179333
Ethiopia,23.547245
Faroe Islands,7.001083167
Federated States of Micronesia,27.58603667
Fiji,24.34033
Finland,2.997030833
France,11.8113275
Gabon,25.459975
Gambia,28.10127667
Georgia,7.486973667
Germany,9.845765333
Ghana,27.85944667
Greece,14.8395305
Greenland,-16.49778
Grenada,27.410535
Guatemala,24.29195333
Guinea,26.35472833
Guinea-Bissau,27.61199167
Guyana,26.24254667
Haiti,25.29522333
Honduras,24.23206333
Hungary,11.62224533
Iceland,2.639044667
India,24.61189333
Indonesia,26.48204833
Iran (Islamic Republic of),18.1759475
Iraq,22.69466033
Ireland,9.657789833
Israel,20.79771667
Italy,13.07513167
Jamaica,25.774465
Japan,11.51241467
Jordan,19.9068515
Kazakhstan,7.175554833
Kenya,25.42660333
Kiribati,27.50574167
Democratic People's Republic of Korea,9.003687917
Republic of Korea,9.003687917
Kuwait,26.39689167
Kyrgyzstan,3.352937833
Lao People's Democratic Republic,24.18532833
Latvia,7.112440833
Lebanon,17.03165033
Lesotho,13.909835
Liberia,25.81620333
Libya,23.06982667
Liechtenstein,4.007078
Lithuania,7.7232035
Luxembourg,10.2200635
Macedonia,11.16527517
Madagascar,22.81284333
Malawi,22.48979667
Malaysia,26.0161
Maldives,28.58333333
Mali,28.999685
Malta,19.89190667
Marshall Islands,28.30083333
Mauritania,28.56568667
Mauritius,23.80104333
Mexico,21.46844
Republic of Moldova,11.09750083
Monaco,10.83267733
Mongolia,0.6909795
Morocco,18.46102333
Mozambique,24.33044667
Myanmar,23.35307833
Namibia,21.42482333
Nepal,12.652329
Netherlands,10.60013083
New Caledonia,22.262045
New Zealand,10.28946283
Nicaragua,25.42800333
Niger,28.08730167
Nigeria,27.50818
Northern Mariana Islands,27.96634833
Norway,2.150914
Oman,26.24851833
Pakistan,20.64155917
Palau,28.169075
Panama,25.96280333
Papua New Guinea,25.372915
Paraguay,23.89181833
Peru,19.93942833
Philippines,26.12985833
Poland,9.278251
Portugal,15.64964083
Puerto Rico,25.89866667
Qatar,28.36677
Republic of Montenegro,10.3185985
Republic of Serbia,11.82784517
Romania,10.50461183
Russian Federation,-4.611156167
Rwanda,19.97234833
Samoa,27.53570333
Sao Tome and Principe,24.095225
Saudi Arabia,25.89274833
Senegal,28.75153333
Seychelles,27.66329833
Sierra Leone,26.58523
Singapore,28.04957333
Slovakia,9.184101833
Slovenia,10.24286883
Solomon Islands,25.61927167
Somalia,27.66172833
South Africa,18.55874
South Sudan,27.856185
Spain,14.17757333
Sri Lanka,27.47952667
Saint Kitts and Nevis,25.42373333
Saint Lucia,26.59163167
Saint Vincent and the Grenadines,27.62098167
Sudan,28.14552667
Suriname,26.21678667
Swaziland,20.88105833
Sweden,2.926416
Switzerland,7.176341333
Syrian Arab Republic,18.90616017
Tajikistan,4.188409
United Republic of Tanzania,23.01831167
Thailand,26.99577667
Timor Leste,25.62804667
Togo,27.68752
Tonga,25.090395
Trinidad and Tobago,26.75415833
Tunisia,20.7997255
Turkey,12.18346533
Turkmenistan,16.225667
Tuvalu,28.48143667
Uganda,23.54014333
Ukraine,9.799846
United Arab Emirates,27.93839
The United Kingdom,9.157787333
United States of America,8.1595615
Uruguay,18.11926067
Uzbekistan,13.4551325
Vanuatu,24.00706833
Venezuela (Bolivarian Republic of),26.126505
Viet Nam,24.83304333
Yemen,24.19493833
Zambia,22.38173167
Zimbabwe,21.97654
Kosovo[1],9.5
